"country","year","gdp_per_capita","population","continent","income_group","che_percent_gdp","life_expectancy","total_covid_deaths_per_million","total_covid_cases_per_million","covid_death_rate_per_million"
"Afghanistan",2020,2769.6858,39068977,"Asia","Low",15.53361,61.4537,53.944363,1289.5881,0.0418306922962456
"Armenia",2020,15052.936,2890893,"Asia","Upper middle",12.24056,68.8898,979.90894,55333.44,0.0177091635726967
"Azerbaijan",2020,19126.098,10181736,"Asia","Upper middle",5.84818,70.3116,250.11395,21037.158,0.0118891510916066
"Bahrain",2020,53814.246,1483081,"Asia","High",4.71962,78.6833,229.54625,60272.195,0.0038084932861662
"Bangladesh",2020,7015.1978,166298024,"Asia","Lower middle",2.27064,71.4211,44.626175,3031.6162,0.0147202587847367
"Bhutan",2020,12979.937,770013,"Asia","Lower middle",4.08452,72.2531,0,857.9613,0
"Cambodia",2020,6128.782,16725484,"Asia","Lower middle",5.28458,70.0594,0,21.276941,0
"China",2020,19215.154,1426106093,"Asia","Upper middle",5.5936,78.0191,3.3595767,67.83215,0.0495277932366879
"Georgia",2020,17031.145,3795680,"Asia","Upper middle",8.3416,73.5094,660.11694,59929.66,0.0110148620899902
"India",2020,7399.531,1402617694,"Asia","Lower middle",3.34146,70.1563,104.34656,7202.5444,0.0144874580710672
"Indonesia",2020,12388.545,274814861,"Asia","Upper middle",3.42067,68.8173,79.3959,2665.4111,0.0297874875661769
"Iran",2020,15381.585,87723448,"Asia","Upper middle",5.4015,74.1406,615.41986,13613.664,0.0452060415182863
"Iraq",2020,12827.635,42116602,"Asia","Upper middle",5.76473,69.6506,290.62488,13488.416,0.0215462571735629
"Israel",2020,42915.94,8800380,"Asia","High",7.7012,82.6997,366.46683,46100.67,0.00794927340535398
"Japan",2020,42992.48,126304533,"Asia","High",11.20904,84.6703,27.312529,1842.4677,0.0148238848366243
"Jordan",2020,9022.64,10865232,"Asia","Lower middle",7.11578,75.5831,338.92224,26035.893,0.0130175001103285
"Kazakhstan",2020,32011.549,19482116,"Asia","Upper middle",3.75301,71.1952,137.21254,10004.836,0.0137146216089899
"Kuwait",2020,49372.82,4400146,"Asia","High",6.23488,78.2483,203.2895,32748.129,0.00620766761972875
"Laos",2020,7995.595,7346534,"Asia","Lower middle",2.05965,68.3386,0,5.423992,0
"Lebanon",2020,12507.437,5702400,"Asia","Lower middle",7.57651,76.2988,251.19714,30985.508,0.00810692340432179
"Malaysia",2020,29200.453,33889554,"Asia","Upper middle",4.08254,76.0566,13.344672,3184.4192,0.00419061410005316
"Maldives",2020,14242.975,502127,"Asia","Upper middle",11.3366,78.713,91.58278,26248.006,0.00348913285070112
"Mongolia",2020,14801.342,3290786,"Asia","Upper middle",4.66625,70.0291,0.29533243,358.8289,0.000823045273109273
"Myanmar",2020,5926.8345,53016525,"Asia","Lower middle",4.38808,66.6121,49.891373,2318.4048,0.0215196988032461
"Nepal",2020,4412.542,28966580,"Asia","Lower middle",5.2081,69.1065,92.81372,8769.617,0.0105835545611627
"Oman",2020,37560.6,4522502,"Asia","High",5.11923,77.7634,316.47516,27212.002,0.0116299844458339
"Pakistan",2020,5135.0146,235001745,"Asia","Lower middle",2.95273,65.7015,41.226807,1958.3041,0.0210523008147713
"Philippines",2020,8455.185,112081270,"Asia","Lower middle",5.16214,70.0974,80.99024,4146.2354,0.0195334399006868
"Qatar",2020,103061.9,2803375,"Asia","High",3.81872,80.4095,84.70281,49653.48,0.00170587862119634
"Saudi Arabia",2020,57420.734,30991206,"Asia","High",6.6463,77.5962,193.12921,11269.527,0.0171372951145155
"Singapore",2020,115893.04,5620151,"Asia","High",5.61609,83.6607,5.132845,10366.4,0.000495142479549313
"South Korea",2020,49374.094,51858481,"Asia","High",8.35549,83.6752,17.380384,1172.6353,0.0148216448882274
"Sri Lanka",2020,13886.651,22561808,"Asia","Lower middle",4.06135,76.9281,8.933668,1896.171,0.00471142528812011
"Syria",2020,4633.3496,21049431,"Asia","Low",3.71556,71.944,31.341585,505.0269,0.0620592388247042
"Tajikistan",2020,3724.749,9749312,"Asia","Lower middle",8.89035,68.6054,8.83893,1342.0442,0.00658616906954331
"Thailand",2020,19957.258,71641484,"Asia","Upper middle",4.35725,77.3314,0.8503482,95.96388,0.00886112774931568
"Turkey",2020,28976.719,86091691,"Asia","Upper middle",4.6164,76.5255,237.10503,25204.578,0.00940722078346243
"United Arab Emirates",2020,66808.65,9448529,"Asia","High",5.82477,81.9363,64.928185,20122.074,0.00322671435359993
"Uzbekistan",2020,8727.411,33586373,"Asia","Lower middle",6.71439,71.4613,0,0.25759214,0
"Vietnam",2020,11851.396,98079196,"Asia","Lower middle",4.3322,75.3832,0.35112128,14.606646,0.0240384603008795
