entity	year	cases	continent
Afghanistan	2023	2792	Asia
Afghanistan	2022	5166	Asia
Afghanistan	2021	2900	Asia
Afghanistan	2020	640	Asia
Afghanistan	2019	353	Asia
Afghanistan	2018	2012	Asia
Afghanistan	2017	1511	Asia
Afghanistan	2016	638	Asia
Afghanistan	2015	1154	Asia
Afghanistan	2014	492	Asia
Afghanistan	2013	430	Asia
Afghanistan	2012	2787	Asia
Afghanistan	2011	3013	Asia
Afghanistan	2010	1989	Asia
Afghanistan	2009	2861	Asia
Afghanistan	2008	1599	Asia
Afghanistan	2007	1141	Asia
Afghanistan	2006	1990	Asia
Afghanistan	2005	1296	Asia
Afghanistan	2004	466	Asia
Afghanistan	2003	798	Asia
Afghanistan	2002	2486	Asia
Afghanistan	2001	8762	Asia
Afghanistan	2000	6532	Asia
Afghanistan	1999	3609	Asia
Afghanistan	1998	2205	Asia
Afghanistan	1997	NA	Asia
Afghanistan	1996	NA	Asia
Afghanistan	1995	NA	Asia
Afghanistan	1994	NA	Asia
Afghanistan	1993	NA	Asia
Afghanistan	1992	NA	Asia
Afghanistan	1991	792	Asia
Afghanistan	1990	1609	Asia
Afghanistan	1989	1170	Asia
Afghanistan	1988	4561	Asia
Afghanistan	1987	10357	Asia
Afghanistan	1986	8107	Asia
Afghanistan	1985	14457	Asia
Afghanistan	1984	16199	Asia
Afghanistan	1983	18808	Asia
Afghanistan	1982	20320	Asia
Afghanistan	1981	31107	Asia
Afghanistan	1980	32455	Asia
Albania	2023	13	Europe
Albania	2022	1	Europe
Albania	2021	NA	Europe
Albania	2020	4	Europe
Albania	2019	488	Europe
Albania	2018	1469	Europe
Albania	2017	12	Europe
Albania	2016	17	Europe
Albania	2015	NA	Europe
Albania	2014	NA	Europe
Albania	2013	0	Europe
Albania	2012	9	Europe
Albania	2011	28	Europe
Albania	2010	10	Europe
Albania	2009	0	Europe
Albania	2008	NA	Europe
Albania	2007	22	Europe
Albania	2006	68	Europe
Albania	2005	6	Europe
Albania	2004	7	Europe
Albania	2003	8	Europe
Albania	2002	16	Europe
Albania	2001	18	Europe
Albania	2000	662	Europe
Albania	1999	797	Europe
Albania	1998	1901	Europe
Albania	1997	2386	Europe
Albania	1996	1204	Europe
Albania	1995	15	Europe
Albania	1994	29	Europe
Albania	1993	7	Europe
Albania	1992	0	Europe
Albania	1991	0	Europe
Albania	1990	NA	Europe
Albania	1989	136034	Europe
Albania	1988	0	Europe
Albania	1987	0	Europe
Albania	1986	0	Europe
Albania	1985	0	Europe
Albania	1984	0	Europe
Albania	1983	17	Europe
Albania	1982	3	Europe
Albania	1981	NA	Europe
Albania	1980	NA	Europe
Algeria	2023	203	Africa
Algeria	2022	47	Africa
Algeria	2021	NA	Africa
Algeria	2020	NA	Africa
Algeria	2019	2585	Africa
Algeria	2018	3356	Africa
Algeria	2017	112	Africa
Algeria	2016	41	Africa
Algeria	2015	63	Africa
Algeria	2014	0	Africa
Algeria	2013	25	Africa
Algeria	2012	18	Africa
Algeria	2011	112	Africa
Algeria	2010	103	Africa
Algeria	2009	107	Africa
Algeria	2008	217	Africa
Algeria	2007	0	Africa
Algeria	2006	944	Africa
Algeria	2005	2302	Africa
Algeria	2004	3289	Africa
Algeria	2003	15374	Africa
Algeria	2002	5862	Africa
Algeria	2001	2686	Africa
Algeria	2000	NA	Africa
Algeria	1999	2503	Africa
Algeria	1998	3301	Africa
Algeria	1997	19573	Africa
Algeria	1996	21003	Africa
Algeria	1995	8204	Africa
Algeria	1994	5913	Africa
Algeria	1993	3141	Africa
Algeria	1992	8823	Africa
Algeria	1991	5969	Africa
Algeria	1990	1796	Africa
Algeria	1989	4169	Africa
Algeria	1988	2634	Africa
Algeria	1987	2500	Africa
Algeria	1986	3975	Africa
Algeria	1985	20114	Africa
Algeria	1984	22553	Africa
Algeria	1983	22126	Africa
Algeria	1982	29584	Africa
Algeria	1981	20849	Africa
Algeria	1980	15527	Africa
Andorra	2023	0	Europe
Andorra	2022	0	Europe
Andorra	2021	0	Europe
Andorra	2020	0	Europe
Andorra	2019	0	Europe
Andorra	2018	0	Europe
Andorra	2017	0	Europe
Andorra	2016	0	Europe
Andorra	2015	0	Europe
Andorra	2014	0	Europe
Andorra	2013	0	Europe
Andorra	2012	0	Europe
Andorra	2011	0	Europe
Andorra	2010	0	Europe
Andorra	2009	0	Europe
Andorra	2008	0	Europe
Andorra	2007	0	Europe
Andorra	2006	0	Europe
Andorra	2005	0	Europe
Andorra	2004	0	Europe
Andorra	2003	0	Europe
Andorra	2002	1	Europe
Andorra	2001	5	Europe
Andorra	2000	2	Europe
Andorra	1999	2	Europe
Andorra	1998	NA	Europe
Andorra	1997	5	Europe
Andorra	1996	NA	Europe
Andorra	1995	NA	Europe
Andorra	1994	NA	Europe
Andorra	1993	NA	Europe
Andorra	1992	NA	Europe
Andorra	1991	NA	Europe
Andorra	1990	NA	Europe
Andorra	1989	NA	Europe
Andorra	1988	NA	Europe
