group	entity	year	antigen	coverage_category	coverage	continent
COUNTRIES	Afghanistan	2023	MCV2	ADMIN	60.11	Asia
COUNTRIES	Afghanistan	2023	MCV1	ADMIN	77.58	Asia
COUNTRIES	Albania	2023	MCV2	ADMIN	92.99	Europe
COUNTRIES	Albania	2023	MCV1	ADMIN	83.28	Europe
COUNTRIES	Algeria	2023	MCV1	ADMIN	98.73	Africa
COUNTRIES	Algeria	2023	MCV2	ADMIN	93.08	Africa
COUNTRIES	Angola	2023	MCV1	ADMIN	78.67	Africa
COUNTRIES	Angola	2023	MCV2	ADMIN	54.77	Africa
COUNTRIES	Anguilla	2023	MCV2	ADMIN	71.33	NA
COUNTRIES	Anguilla	2023	MCV1	ADMIN	70.7	NA
COUNTRIES	Antigua and Barbuda	2023	MCV2	ADMIN	87.34	North America
COUNTRIES	Antigua and Barbuda	2023	MCV1	ADMIN	93.63	North America
COUNTRIES	Argentina	2023	MCV1	ADMIN	79.51	South America
COUNTRIES	Argentina	2023	MCV2	ADMIN	54.23	South America
COUNTRIES	Armenia	2023	MCV1	ADMIN	95.76	Europe
COUNTRIES	Armenia	2023	MCV2	ADMIN	95.99	Europe
COUNTRIES	Aruba	2023	MCV1	ADMIN	93.2	NA
COUNTRIES	Aruba	2023	MCV2	ADMIN	81.13	NA
COUNTRIES	Australia	2023	MCV2	ADMIN	92.65	Oceania
COUNTRIES	Australia	2023	MCV1	ADMIN	91.48	Oceania
COUNTRIES	Azerbaijan	2023	MCV2	ADMIN	93.23	Europe
COUNTRIES	Azerbaijan	2023	MCV1	ADMIN	96.23	Europe
COUNTRIES	Bahamas	2023	MCV1	ADMIN	86.34	North America
COUNTRIES	Bahamas	2023	MCV2	ADMIN	52.73	North America
COUNTRIES	Bahrain	2023	MCV1	ADMIN	100	Asia
COUNTRIES	Bahrain	2023	MCV2	ADMIN	100	Asia
COUNTRIES	Bangladesh	2023	MCV2	ADMIN	122.9	Asia
COUNTRIES	Bangladesh	2023	MCV1	ADMIN	125.3	Asia
COUNTRIES	Barbados	2023	MCV2	ADMIN	75.74	North America
COUNTRIES	Barbados	2023	MCV1	ADMIN	89.47	North America
COUNTRIES	Belarus	2023	MCV1	ADMIN	97.05	Europe
COUNTRIES	Belarus	2023	MCV2	ADMIN	94.86	Europe
COUNTRIES	Belize	2023	MCV1	ADMIN	92.97	North America
COUNTRIES	Belize	2023	MCV2	ADMIN	87.85	North America
COUNTRIES	Benin	2023	MCV1	ADMIN	96.34	Africa
COUNTRIES	Bermuda	2023	MCV1	ADMIN	95.31	NA
COUNTRIES	Bermuda	2023	MCV2	ADMIN	74.86	NA
COUNTRIES	Bhutan	2023	MCV2	ADMIN	103.21	Asia
COUNTRIES	Bhutan	2023	MCV1	ADMIN	98.69	Asia
COUNTRIES	Bolivia	2023	MCV2	ADMIN	50.29	South America
COUNTRIES	Bolivia	2023	MCV1	ADMIN	68.12	South America
COUNTRIES	Bosnia and Herzegovina	2023	MCV1	ADMIN	55.2	Europe
COUNTRIES	Bosnia and Herzegovina	2023	MCV2	ADMIN	62.8	Europe
COUNTRIES	Botswana	2023	MCV1	ADMIN	78.84	Africa
COUNTRIES	Botswana	2023	MCV2	ADMIN	79.37	Africa
COUNTRIES	Brazil	2023	MCV1	ADMIN	86.76	South America
COUNTRIES	Brazil	2023	MCV2	ADMIN	63.54	South America
COUNTRIES	British Virgin Islands	2023	MCV1	ADMIN	86.25	NA
COUNTRIES	British Virgin Islands	2023	MCV2	ADMIN	72.5	NA
COUNTRIES	Brunei	2023	MCV2	ADMIN	98.67	Asia
COUNTRIES	Brunei	2023	MCV1	ADMIN	97.42	Asia
COUNTRIES	Bulgaria	2023	MCV2	ADMIN	87.4	Europe
COUNTRIES	Bulgaria	2023	MCV1	ADMIN	91.6	Europe
COUNTRIES	Burkina	2023	MCV2	ADMIN	83.77	Africa
COUNTRIES	Burkina	2023	MCV1	ADMIN	93.69	Africa
COUNTRIES	Burundi	2023	MCV1	ADMIN	82.17	Africa
COUNTRIES	Burundi	2023	MCV2	ADMIN	80.93	Africa
COUNTRIES	Cape Verde	2023	MCV1	ADMIN	98.3	Africa
COUNTRIES	Cape Verde	2023	MCV2	ADMIN	92.66	Africa
COUNTRIES	Cambodia	2023	MCV1	ADMIN	96.33	Asia
COUNTRIES	Cambodia	2023	MCV2	ADMIN	83	Asia
COUNTRIES	Cameroon	2023	MCV2	ADMIN	55.91	Africa
COUNTRIES	Cameroon	2023	MCV1	ADMIN	81.51	Africa
COUNTRIES	Cayman Islands	2023	MCV1	ADMIN	93.87	NA
COUNTRIES	Cayman Islands	2023	MCV2	ADMIN	86.28	NA
COUNTRIES	Central African Republic	2023	MCV1	ADMIN	101.86	Africa
COUNTRIES	Chad	2023	MCV2	ADMIN	51.74	Africa
COUNTRIES	Chad	2023	MCV1	ADMIN	94.5	Africa
COUNTRIES	Chile	2023	MCV1	ADMIN	93.58	South America
COUNTRIES	Chile	2023	MCV2	ADMIN	69.98	South America
COUNTRIES	China	2023	MCV1	ADMIN	94.99	Asia
COUNTRIES	China	2023	MCV2	ADMIN	94.77	Asia
COUNTRIES	Hong Kong	2023	MCV2	ADMIN	95.38	Asia
COUNTRIES	China, Macao SAR	2023	MCV2	ADMIN	96.34	NA
COUNTRIES	China, Macao SAR	2023	MCV1	ADMIN	97.34	NA
COUNTRIES	Colombia	2023	MCV2	ADMIN	83.76	South America
COUNTRIES	Colombia	2023	MCV1	ADMIN	92.55	South America
COUNTRIES	Comoros	2023	MCV1	ADMIN	70.09	Africa
COUNTRIES	Comoros	2023	MCV2	ADMIN	78.77	Africa
COUNTRIES	Congo	2023	MCV1	ADMIN	64.74	Africa
COUNTRIES	Congo	2023	MCV2	ADMIN	34.14	Africa
COUNTRIES	Cook Islands	2023	MCV1	ADMIN	84.02	NA
COUNTRIES	Cook Islands	2023	MCV2	ADMIN	76.71	NA
COUNTRIES	Costa Rica	2023	MCV2	ADMIN	83.42	North America
COUNTRIES	Costa Rica	2023	MCV1	ADMIN	93.28	North America
COUNTRIES	Ivory Coast	2023	MCV2	ADMIN	42.72	Africa
COUNTRIES	Ivory Coast	2023	MCV1	ADMIN	93	Africa
COUNTRIES	Croatia	2023	MCV2	ADMIN	90.05	Europe
COUNTRIES	Croatia	2023	MCV1	ADMIN	90.08	Europe
COUNTRIES	Cuba	2023	MCV1	ADMIN	99.95	North America
COUNTRIES	Cuba	2023	MCV2	ADMIN	99.22	North America
COUNTRIES	Cyprus	2023	MCV1	ADMIN	81.5	Europe
COUNTRIES	Cyprus	2023	MCV2	ADMIN	79.56	Europe
COUNTRIES	Czechia	2023	MCV1	ADMIN	86.97	Europe
COUNTRIES	North Korea	2023	MCV2	ADMIN	16.31	Asia
COUNTRIES	North Korea	2023	MCV1	ADMIN	28.15	Asia
COUNTRIES	Democratic Republic of Congo	2023	MCV1	ADMIN	92.47	Africa
COUNTRIES	Democratic Republic of Congo	2023	MCV2	ADMIN	15	Africa
COUNTRIES	Denmark	2023	MCV2	ADMIN	92.82	Europe
COUNTRIES	Denmark	2023	MCV1	ADMIN	93.91	Europe
COUNTRIES	Djibouti	2023	MCV2	ADMIN	80.19	Africa
COUNTRIES	Djibouti	2023	MCV1	ADMIN	95.06	Africa
COUNTRIES	Dominica	2023	MCV1	ADMIN	97.61	North America
COUNTRIES	Dominica	2023	MCV2	ADMIN	99.06	North America
COUNTRIES	Dominican Republic	2023	MCV1	ADMIN	93.85	North America
COUNTRIES	Dominican Republic	2023	MCV2	ADMIN	70.5	North America
COUNTRIES	Ecuador	2023	MCV2	ADMIN	81	South America
COUNTRIES	Ecuador	2023	MCV1	ADMIN	97	South America
COUNTRIES	Egypt	2023	MCV2	ADMIN	94.96	Africa
COUNTRIES	Egypt	2023	MCV1	ADMIN	95.67	Africa
COUNTRIES	El Salvador	2023	MCV1	ADMIN	99.67	North America
COUNTRIES	El Salvador	2023	MCV2	ADMIN	71.4	North America
COUNTRIES	Equatorial Guinea	2023	MCV1	ADMIN	60.62	Africa
COUNTRIES	Equatorial Guinea	2023	MCV2	ADMIN	27.97	Africa
COUNTRIES	Eritrea	2023	MCV1	ADMIN	76.83	Africa
COUNTRIES	Eritrea	2023	MCV2	ADMIN	71.39	Africa
COUNTRIES	Estonia	2023	MCV1	ADMIN	84.42	Europe
COUNTRIES	Estonia	2023	MCV2	ADMIN	72.89	Europe
COUNTRIES	Swaziland	2023	MCV1	ADMIN	84.63	Africa
COUNTRIES	Swaziland	2023	MCV2	ADMIN	82.39	Africa
COUNTRIES	Ethiopia	2023	MCV2	ADMIN	83.07	Africa
COUNTRIES	Ethiopia	2023	MCV1	ADMIN	94.68	Africa
COUNTRIES	Fiji	2023	MCV1	ADMIN	95.23	Oceania
COUNTRIES	Fiji	2023	MCV2	ADMIN	82.93	Oceania
COUNTRIES	Finland	2023	MCV1	ADMIN	95	Europe
COUNTRIES	Finland	2023	MCV2	ADMIN	92	Europe
COUNTRIES	France	2023	MCV2	ADMIN	92.8	Europe
COUNTRIES	France	2023	MCV1	ADMIN	95.1	Europe
COUNTRIES	Gabon	2023	MCV1	ADMIN	65.94	Africa
COUNTRIES	Gambia	2023	MCV1	ADMIN	80.19	Africa
COUNTRIES	Gambia	2023	MCV2	ADMIN	73.09	Africa
COUNTRIES	Georgia	2023	MCV1	ADMIN	95	Europe
COUNTRIES	Georgia	2023	MCV2	ADMIN	86	Europe
COUNTRIES	Germany	2023	MCV1	ADMIN	96	Europe
COUNTRIES	Germany	2023	MCV2	ADMIN	91	Europe
COUNTRIES	Ghana	2023	MCV1	ADMIN	88.45	Africa
COUNTRIES	Ghana	2023	MCV2	ADMIN	82.09	Africa
COUNTRIES	Grenada	2023	MCV1	ADMIN	82.24	North America
COUNTRIES	Grenada	2023	MCV2	ADMIN	84.2	North America
COUNTRIES	Guam	2023	MCV2	ADMIN	90.96	NA
COUNTRIES	Guatemala	2023	MCV2	ADMIN	76.96	North America
COUNTRIES	Guatemala	2023	MCV1	ADMIN	88.09	North America
COUNTRIES	Guinea	2023	MCV1	ADMIN	90.6	Africa
COUNTRIES	Guinea	2023	MCV2	ADMIN	50.85	Africa
COUNTRIES	Guinea-Bissau	2023	MCV2	ADMIN	50	Africa
COUNTRIES	Guinea-Bissau	2023	MCV1	ADMIN	71.84	Africa
COUNTRIES	Guyana	2023	MCV1	ADMIN	103	South America
COUNTRIES	Guyana	2023	MCV2	ADMIN	99.06	South America
COUNTRIES	Haiti	2023	MCV2	ADMIN	66.96	North America
COUNTRIES	Haiti	2023	MCV1	ADMIN	93.69	North America
COUNTRIES	Honduras	2023	MCV2	ADMIN	73.97	North America
COUNTRIES	Honduras	2023	MCV1	ADMIN	77.19	North America
COUNTRIES	Hungary	2023	MCV1	ADMIN	99.86	Europe
COUNTRIES	Hungary	2023	MCV2	ADMIN	99.74	Europe
COUNTRIES	Iceland	2023	MCV1	ADMIN	91.28	Europe
COUNTRIES	Iceland	2023	MCV2	ADMIN	89.46	Europe
COUNTRIES	India	2023	MCV2	ADMIN	89.84	Asia
COUNTRIES	India	2023	MCV1	ADMIN	93.35	Asia
COUNTRIES	Indonesia	2023	MCV1	ADMIN	95.41	Asia
COUNTRIES	Indonesia	2023	MCV2	ADMIN	78	Asia
COUNTRIES	Iran	2023	MCV2	ADMIN	99.52	Asia
COUNTRIES	Iran	2023	MCV1	ADMIN	99.7	Asia
COUNTRIES	Iraq	2023	MCV1	ADMIN	107.38	Asia
COUNTRIES	Iraq	2023	MCV2	ADMIN	83.03	Asia
COUNTRIES	Ireland	2023	MCV1	ADMIN	89.48	Europe
COUNTRIES	Ireland	2023	MCV2	ADMIN	89.43	Europe
COUNTRIES	Italy	2023	MCV2	ADMIN	84.79	Europe
COUNTRIES	Italy	2023	MCV1	ADMIN	94.64	Europe
COUNTRIES	Jamaica	2023	MCV2	ADMIN	89.02	North America
COUNTRIES	Jamaica	2023	MCV1	ADMIN	92.6	North America
COUNTRIES	Japan	2023	MCV2	ADMIN	93.76	Asia
COUNTRIES	Japan	2023	MCV1	ADMIN	93.51	Asia
COUNTRIES	Jordan	2023	MCV2	ADMIN	89	Asia
COUNTRIES	Jordan	2023	MCV1	ADMIN	95	Asia
COUNTRIES	Kazakhstan	2023	MCV2	ADMIN	99.6	Asia
COUNTRIES	Kazakhstan	2023	MCV1	ADMIN	99.8	Asia
COUNTRIES	Kenya	2023	MCV1	ADMIN	85.33	Africa
COUNTRIES	Kenya	2023	MCV2	ADMIN	62.35	Africa
COUNTRIES	Kiribati	2023	MCV2	ADMIN	47.04	Oceania
COUNTRIES	Kiribati	2023	MCV1	ADMIN	78.65	Oceania
COUNTRIES	Kosovo (in accordance with UN Security Council resolution 1244 (1999))	2023	MCV1	ADMIN	91.76	NA
COUNTRIES	Kosovo (in accordance with UN Security Council resolution 1244 (1999))	2023	MCV2	ADMIN	91.76	NA
COUNTRIES	Kuwait	2023	MCV1	ADMIN	98.54	Asia
COUNTRIES	Kuwait	2023	MCV2	ADMIN	90.92	Asia
COUNTRIES	Kyrgyzstan	2023	MCV1	ADMIN	96.23	Asia
COUNTRIES	Kyrgyzstan	2023	MCV2	ADMIN	92.66	Asia
